name,category,image_url,product_url,colors,season,occasion,style_tags,occasion_tags,source,source_item_id,brand
Sandy,top,catalog/images/0740958001.jpg,,Black,,,classic|minimal|dressy|feminine,everyday|casual,h_and_m,0740958001,H&M
Ella knitted top,top,catalog/images/0826652001.jpg,,Black,,,bold|statement|cozy|layering,trendy|going_out,h_and_m,0826652001,H&M
Mooncake,top,catalog/images/0731425003.jpg,,White,,,classic|minimal|feminine|work,everyday|casual,h_and_m,0731425003,H&M
SC REBEL knit sweater,top,catalog/images/0949143001.jpg,,Black,,,classic|minimal,,h_and_m,0949143001,H&M
Ozzy,top,catalog/images/0777434001.jpg,,Yellowish Brown,,,classic|minimal|cozy|layering,everyday|casual,h_and_m,0777434001,H&M
L Lilo Pile Coat,top,catalog/images/0790006003.jpg,,Beige,,,classic|minimal|casual|layering,,h_and_m,0790006003,H&M
Instagram blouse,top,catalog/images/0639131001.jpg,,Light Beige,,,statement|trendy|feminine|work,trendy|going_out,h_and_m,0639131001,H&M
LE Mila Blouse,top,catalog/images/0749409001.jpg,,Dark Green,,,bold|statement,,h_and_m,0749409001,H&M
Bay Tunic,top,catalog/images/0509097004.jpg,,Black,,,feminine|versatile,everyday|casual,h_and_m,0509097004,H&M
Luna tunic,top,catalog/images/0616752002.jpg,,Light Beige,,,bold|statement|dressy|feminine,,h_and_m,0616752002,H&M
Paula,top,catalog/images/0640539013.jpg,,Dark Green,,,classic|minimal|feminine|work,,h_and_m,0640539013,H&M
ED Johannesburg blouse,top,catalog/images/0777212002.jpg,,Yellowish Brown,,,bold|statement|feminine|work,,h_and_m,0777212002,H&M
Gyda-,top,catalog/images/0695632009.jpg,,White,,,bold|statement|feminine|work,,h_and_m,0695632009,H&M
Long shelf jacket,top,catalog/images/0909100001.jpg,,Light Beige,,,classic|minimal|casual|layering,,h_and_m,0909100001,H&M
ES Bergamot tee,top,catalog/images/0692216003.jpg,,White,,,classic|minimal|dressy|feminine,trendy|going_out,h_and_m,0692216003,H&M
Flamingo,top,catalog/images/0661794006.jpg,,Black,,,classic|minimal|casual|layering,,h_and_m,0661794006,H&M
Dollar,top,catalog/images/0535478001.jpg,,Black,,,bold|statement|feminine|work,everyday|casual,h_and_m,0535478001,H&M
Poca Coat,top,catalog/images/0810005001.jpg,,Light Beige,,,classic|minimal|casual|layering,,h_and_m,0810005001,H&M
Dane trench,top,catalog/images/0849637002.jpg,,Yellowish Brown,,,classic|minimal|casual|layering,,h_and_m,0849637002,H&M
Pingu top,top,catalog/images/0666382015.jpg,,Light Beige,,,classic|minimal|dressy|feminine,everyday|casual,h_and_m,0666382015,H&M
Beatles  (1),top,catalog/images/0651702001.jpg,,Off White,,,bold|statement|feminine|work,everyday|casual,h_and_m,0651702001,H&M
Leonore Blouse,top,catalog/images/0653839001.jpg,,Black,,,bold|statement|feminine|work,everyday,h_and_m,0653839001,H&M
Mo,top,catalog/images/0520829001.jpg,,Green,,,classic|minimal|dressy|feminine,everyday|casual,h_and_m,0520829001,H&M
Chilli top,top,catalog/images/0685054001.jpg,,Black,,,classic|minimal|dressy|feminine,,h_and_m,0685054001,H&M
PE ROXANNE TOP 3,top,catalog/images/0699270001.jpg,,Light Pink,,,classic|minimal,,h_and_m,0699270001,H&M
ED Syrup shelltop,top,catalog/images/0548932006.jpg,,Dark Blue,,,bold|statement|feminine|work,,h_and_m,0548932006,H&M
SPEED Apple,top,catalog/images/0705966006.jpg,,Light Beige,,,casual|cozy|layering,,h_and_m,0705966006,H&M
Bugg,top,catalog/images/0544010002.jpg,,Black,,,classic|minimal,,h_and_m,0544010002,H&M
PE Lami top,top,catalog/images/0618605001.jpg,,Dark Grey,,,classic|minimal,,h_and_m,0618605001,H&M
Kira top,top,catalog/images/0660795002.jpg,,Light Blue,,,classic|minimal|dressy|feminine,everyday|casual,h_and_m,0660795002,H&M
Borzoi Shacket,top,catalog/images/0837810002.jpg,,Light Orange,,,casual|layering,,h_and_m,0837810002,H&M
Rain fur coat,top,catalog/images/0927068002.jpg,,Beige,,,bold|statement|casual|layering,,h_and_m,0927068002,H&M
Delphine Shirt,top,catalog/images/0889456002.jpg,,Black,,,classic|minimal|feminine|work,,h_and_m,0889456002,H&M
Baez shirt,top,catalog/images/0622093004.jpg,,Light Blue,,,classic|minimal|feminine|work,trendy|going_out,h_and_m,0622093004,H&M
Remy padded jacket,top,catalog/images/0897358001.jpg,,Black,,,classic|minimal|casual|layering,,h_and_m,0897358001,H&M
Miso,top,catalog/images/0675203009.jpg,,Dark Beige,,,bold|statement|feminine|work,everyday|casual,h_and_m,0675203009,H&M
W YODA KNIT OL OFFER,top,catalog/images/0685687001.jpg,,Dark Grey,,,casual,everyday|casual,h_and_m,0685687001,H&M
Chestnut strap top,top,catalog/images/0749699012.jpg,,Light Beige,,,bold|statement|dressy|feminine,,h_and_m,0749699012,H&M
bap t-shirt,top,catalog/images/0779909006.jpg,,Orange,,,classic|minimal|dressy|feminine,trendy|going_out,h_and_m,0779909006,H&M
PQ BLAKE SILK MIX TEE,top,catalog/images/0774543005.jpg,,Black,,,classic|minimal|cozy|layering,,h_and_m,0774543005,H&M
Marina Dress LS,top,catalog/images/0825169001.jpg,,Pink,,,classic|minimal|feminine|versatile,everyday|casual,h_and_m,0825169001,H&M
Jen tee,top,catalog/images/0841260011.jpg,,Black,,,casual|graphic|dressy|feminine,everyday|casual,h_and_m,0841260011,H&M
Wolf raincoat,top,catalog/images/0851866003.jpg,,Light Beige,,,bold|statement|casual|layering,,h_and_m,0851866003,H&M
D3 PE CARMEN,top,catalog/images/0843120001.jpg,,Dark Grey,,,,,h_and_m,0843120001,H&M
Darwin,top,catalog/images/0737489002.jpg,,Yellowish Brown,,,classic|minimal|cozy|layering,everyday|casual,h_and_m,0737489002,H&M
Grebo,top,catalog/images/0596344001.jpg,,Red,,,bold|statement|feminine|work,,h_and_m,0596344001,H&M
Aquila tee,top,catalog/images/0697349008.jpg,,White,,,classic|minimal|dressy|feminine,trendy|going_out,h_and_m,0697349008,H&M
Steam smock top,top,catalog/images/0895002004.jpg,,White,,,dressy|feminine,everyday|casual,h_and_m,0895002004,H&M
SUNLACE STRAP TOP,top,catalog/images/0572799002.jpg,,White,,,classic|minimal|dressy|feminine,,h_and_m,0572799002,H&M
Caramba fitted shirt,top,catalog/images/0721040002.jpg,,Dark Blue,,,classic|minimal|dressy|feminine,trendy|going_out,h_and_m,0721040002,H&M
Chestnut strap top,top,catalog/images/0749699029.jpg,,Light Beige,,,bold|statement|dressy|feminine,,h_and_m,0749699029,H&M
Elsa,top,catalog/images/0568862001.jpg,,Green,,,classic|minimal|cozy|layering,,h_and_m,0568862001,H&M
SAILOR LS,top,catalog/images/0581709007.jpg,,Dark Blue,,,casual|classic|dressy|feminine,,h_and_m,0581709007,H&M
Offy sweater,top,catalog/images/0595779003.jpg,,Light Pink,,,classic|minimal|dressy|feminine,everyday|casual,h_and_m,0595779003,H&M
Kaia,top,catalog/images/0850249003.jpg,,Yellow,,,classic|minimal|feminine|work,everyday|casual,h_and_m,0850249003,H&M
Alicia hoodie,top,catalog/images/0567477002.jpg,,Red,,,classic|minimal|dressy|feminine,,h_and_m,0567477002,H&M
Felicia cord shirt,top,catalog/images/0780813002.jpg,,Greenish Khaki,,,classic|minimal|feminine|work,,h_and_m,0780813002,H&M
House,top,catalog/images/0693951007.jpg,,Dark Grey,,,casual|cozy|layering,everyday|casual,h_and_m,0693951007,H&M
Gavino,top,catalog/images/0613459005.jpg,,White,,,bold|statement|dressy|feminine,everyday|casual,h_and_m,0613459005,H&M
Hepburn strap top,top,catalog/images/0459149003.jpg,,Off White,,,classic|minimal|feminine|work,,h_and_m,0459149003,H&M
Billie high,top,catalog/images/0730946002.jpg,,White,,,classic|minimal|basic|casual,everyday|casual,h_and_m,0730946002,H&M
Edit NT tank,top,catalog/images/0772678002.jpg,,Grey,,,casual|classic|dressy|feminine,everyday,h_and_m,0772678002,H&M
Gyda Blouse.,top,catalog/images/0915611001.jpg,,Black,,,classic|minimal|feminine|work,,h_and_m,0915611001,H&M
Bama (1),top,catalog/images/0519749046.jpg,,White,,,casual|classic|cozy|layering,everyday|casual,h_and_m,0519749046,H&M
PE S WEBSTER TANK,top,catalog/images/0738320004.jpg,,Black,,,classic|minimal,,h_and_m,0738320004,H&M
Kylie Hood,top,catalog/images/0520627004.jpg,,Dark Blue,,,classic|minimal|dressy|feminine,,h_and_m,0520627004,H&M
Tracy blazer,top,catalog/images/0547518001.jpg,,Beige,,,bold|statement,trendy|going_out,h_and_m,0547518001,H&M
Jetplane (1),top,catalog/images/0630313008.jpg,,Pink,,,bold|statement|basic|casual,everyday|casual,h_and_m,0630313008,H&M
Dreams blouse,top,catalog/images/0784229002.jpg,,Dark Red,,,classic|minimal|feminine|work,,h_and_m,0784229002,H&M
Rebecca,top,catalog/images/0507909002.jpg,,Light Pink,,,casual|classic|feminine|work,,h_and_m,0507909002,H&M
D1 PE RITA CAMISOLE,top,catalog/images/0826770001.jpg,,Greyish Beige,,,classic|minimal,,h_and_m,0826770001,H&M
Oliver Hoodie long,top,catalog/images/0904545001.jpg,,Light Turquoise,,,classic|minimal|basic|casual,everyday|casual,h_and_m,0904545001,H&M
Strap top,top,catalog/images/0108775015.jpg,,Black,,,classic|minimal|basic|casual,everyday|casual,h_and_m,0108775015,H&M
Hero blz,top,catalog/images/0604190001.jpg,,Black,,,classic|minimal,everyday|casual,h_and_m,0604190001,H&M
Jennifer tee,top,catalog/images/0733029019.jpg,,Grey,,,casual|graphic|dressy|feminine,everyday|casual,h_and_m,0733029019,H&M
ED Siv sweater,top,catalog/images/0809010001.jpg,,Red,,,casual|graphic|dressy|feminine,,h_and_m,0809010001,H&M
Totem (1),top,catalog/images/0714582006.jpg,,Yellowish Brown,,,classic|minimal|cozy|layering,everyday|casual,h_and_m,0714582006,H&M
EDC ROMAN BLOUSE,top,catalog/images/0671505001.jpg,,White,,,classic|minimal,everyday|casual,h_and_m,0671505001,H&M
W SORRENTO BLOUSE EQ,top,catalog/images/0665384001.jpg,,Dark Red,,,classic|minimal,everyday|casual,h_and_m,0665384001,H&M
Lucien,top,catalog/images/0859247008.jpg,,Black,,,bold|statement|feminine|work,everyday|casual,h_and_m,0859247008,H&M
DIV Hibiscus throw-on,top,catalog/images/0624647001.jpg,,Black,,,classic|minimal|casual|layering,,h_and_m,0624647001,H&M
Maran linen,top,catalog/images/0820483003.jpg,,Yellow,,,classic|minimal|basic|casual,everyday|casual,h_and_m,0820483003,H&M
ES Hermine,top,catalog/images/0616543006.jpg,,White,,,classic|minimal|dressy|feminine,trendy|going_out,h_and_m,0616543006,H&M
Wera wrap top,top,catalog/images/0760830003.jpg,,Light Beige,,,casual|basic,everyday|casual,h_and_m,0760830003,H&M
Pila Blouse,top,catalog/images/0727263002.jpg,,Dark Orange,,,bold|statement|feminine|versatile,,h_and_m,0727263002,H&M
VENUS OFF SHOULDER,top,catalog/images/0689811001.jpg,,Blue,,,casual|classic|dressy|feminine,,h_and_m,0689811001,H&M
Young embroidery blouse,top,catalog/images/0519894002.jpg,,Black,,,classic|minimal|feminine|work,,h_and_m,0519894002,H&M
PRINTED TEE OWN PRINT,top,catalog/images/0713019009.jpg,,White,,,casual|graphic|dressy|feminine,,h_and_m,0713019009,H&M
Sebastian top,top,catalog/images/0670499002.jpg,,Dark Blue,,,bold|statement|feminine|work,,h_and_m,0670499002,H&M
PE VALERIE,top,catalog/images/0670752001.jpg,,Grey,,,casual,,h_and_m,0670752001,H&M
Alex alex,top,catalog/images/0816953006.jpg,,Black,,,classic|minimal|feminine|work,,h_and_m,0816953006,H&M
Raspberry Jacket,top,catalog/images/0786818001.jpg,,Beige,,,classic|minimal|casual|layering,,h_and_m,0786818001,H&M
Physics top,top,catalog/images/0570333002.jpg,,Black,,,bold|statement|feminine|work,trendy|going_out,h_and_m,0570333002,H&M
Orangerie,top,catalog/images/0905949001.jpg,,Black,,,classic|minimal|feminine|work,everyday|casual,h_and_m,0905949001,H&M
ED Verina,top,catalog/images/0888686001.jpg,,Pink,,,classic|minimal|feminine|work,,h_and_m,0888686001,H&M
Despacito,top,catalog/images/0842605015.jpg,,White,,,classic|minimal|feminine|work,everyday|casual,h_and_m,0842605015,H&M
J STAN TEE EQ,top,catalog/images/0687940003.jpg,,Off White,,,bold|statement,everyday|casual,h_and_m,0687940003,H&M
Chestnut strap top,top,catalog/images/0749699013.jpg,,Dark Red,,,classic|minimal|dressy|feminine,,h_and_m,0749699013,H&M
MC Drums tweed,top,catalog/images/0652214003.jpg,,Black,,,classic|minimal|casual|layering,,h_and_m,0652214003,H&M
Karen,top,catalog/images/0832312002.jpg,,Dark Orange,,,,everyday|casual,h_and_m,0832312002,H&M
Valley top,top,catalog/images/0727676002.jpg,,Light Grey,,,casual|dressy|feminine,trendy|going_out,h_and_m,0727676002,H&M
KRISS OTS,top,catalog/images/0651245002.jpg,,Black,,,classic|minimal|dressy|feminine,,h_and_m,0651245002,H&M
Apple 3/4,top,catalog/images/0654428003.jpg,,Black,,,classic|minimal|dressy|feminine,everyday,h_and_m,0654428003,H&M
Stacey funnelneck dress,top,catalog/images/0774151002.jpg,,White,,,classic|minimal|cozy|layering,,h_and_m,0774151002,H&M
Emsy Dress,top,catalog/images/0707375001.jpg,,Light Beige,,,bold|statement|dressy|feminine,everyday,h_and_m,0707375001,H&M
Apricot PU shirt,top,catalog/images/0859232001.jpg,,Black,,,classic|minimal|feminine|work,everyday|casual,h_and_m,0859232001,H&M
Fresh knitted jumper,top,catalog/images/0625348001.jpg,,White,,,classic|minimal|cozy|layering,trendy|going_out,h_and_m,0625348001,H&M
Taco Top,top,catalog/images/0653909001.jpg,,Dark Blue,,,classic|minimal|dressy|feminine,everyday,h_and_m,0653909001,H&M
Stacey funnelneck dress,top,catalog/images/0774151001.jpg,,Grey,,,casual|cozy|layering,,h_and_m,0774151001,H&M
ES Agnes LS R-neck,top,catalog/images/0516000093.jpg,,Red,,,classic|minimal|dressy|feminine,,h_and_m,0516000093,H&M
Tilda,top,catalog/images/0690683001.jpg,,Black,,,classic|minimal,everyday|casual,h_and_m,0690683001,H&M
PQ GAIA WOOL/CASH TOP,top,catalog/images/0844929002.jpg,,Greenish Khaki,,,classic|minimal|cozy|layering,,h_and_m,0844929002,H&M
Maltese throw on (twiggy),top,catalog/images/0647334001.jpg,,Grey,,,casual|cozy|layering,,h_and_m,0647334001,H&M
ED Firenze jacket,top,catalog/images/0575214004.jpg,,Light Beige,,,classic|minimal|casual|layering,,h_and_m,0575214004,H&M
Lee,top,catalog/images/0316441008.jpg,,Dark Green,,,casual|classic|basic,everyday|casual,h_and_m,0316441008,H&M
Lukas top,top,catalog/images/0742377001.jpg,,White,,,classic|minimal|feminine|work,,h_and_m,0742377001,H&M
Hazel,top,catalog/images/0865076001.jpg,,Black,,,classic|minimal|basic|casual,everyday|casual,h_and_m,0865076001,H&M
PQ LESSIE COTTON SHIRT,top,catalog/images/0832080001.jpg,,Off White,,,classic|minimal,,h_and_m,0832080001,H&M
Bueno top,top,catalog/images/0793848005.jpg,,Light Beige,,,bold|statement|dressy|feminine,trendy|going_out,h_and_m,0793848005,H&M
Lizzie.,top,catalog/images/0568137005.jpg,,White,,,casual|classic|basic,everyday|casual,h_and_m,0568137005,H&M
Michelle top,top,catalog/images/0801076004.jpg,,White,,,classic|minimal|cozy|layering,trendy|going_out,h_and_m,0801076004,H&M
Lund top,top,catalog/images/0595021001.jpg,,Black,,,dressy|feminine,everyday|casual,h_and_m,0595021001,H&M
Tina NT l/s,top,catalog/images/0442633005.jpg,,Light Orange,,,bold|statement|dressy|feminine,everyday,h_and_m,0442633005,H&M
Bianca linen(1),top,catalog/images/0739529007.jpg,,Light Beige,,,classic|minimal|basic|casual,everyday|casual,h_and_m,0739529007,H&M
Mother,top,catalog/images/0675408001.jpg,,Grey,,,casual|cozy|layering,everyday|casual,h_and_m,0675408001,H&M
Roseanne Bow,top,catalog/images/0583745001.jpg,,Light Blue,,,casual|classic|cozy|layering,everyday,h_and_m,0583745001,H&M
Helsinki (1),top,catalog/images/0681657005.jpg,,Dark Beige,,,casual|classic|basic,everyday|casual,h_and_m,0681657005,H&M
Ace hood,top,catalog/images/0928153001.jpg,,Light Beige,,,classic|minimal|dressy|feminine,trendy|going_out,h_and_m,0928153001,H&M
LOGG Noah cowl neck dress,top,catalog/images/0800161001.jpg,,Black,,,classic|minimal|cozy|layering,,h_and_m,0800161001,H&M
PQ NATASHA WOOL POLO,top,catalog/images/0802549004.jpg,,Off White,,,classic|minimal|cozy|layering,,h_and_m,0802549004,H&M
Gimlet,top,catalog/images/0533717002.jpg,,Black,,,classic|minimal,everyday|casual,h_and_m,0533717002,H&M
Arnica Padded Jacket,top,catalog/images/0700429002.jpg,,Beige,,,classic|minimal|casual|layering,,h_and_m,0700429002,H&M
Tilly.,top,catalog/images/0772005009.jpg,,White,,,classic|minimal|basic|casual,everyday|casual,h_and_m,0772005009,H&M
Mariette Blazer,top,catalog/images/0568601045.jpg,,Red,,,classic|minimal,,h_and_m,0568601045,H&M
Vega,top,catalog/images/0546666003.jpg,,Pink,,,classic|minimal|feminine|work,,h_and_m,0546666003,H&M
Olin tee,top,catalog/images/0547264011.jpg,,Light Pink,,,classic|minimal|dressy|feminine,everyday|casual,h_and_m,0547264011,H&M
Glee Padded Vest,top,catalog/images/0639242002.jpg,,Greenish Khaki,,,classic|minimal|casual|layering,,h_and_m,0639242002,H&M
Sterling,top,catalog/images/0785853001.jpg,,Black,,,classic|minimal|basic|casual,everyday|casual,h_and_m,0785853001,H&M
Lacey,top,catalog/images/0604929001.jpg,,Beige,,,classic|minimal|cozy|layering,everyday|casual,h_and_m,0604929001,H&M
ESSENTIAL LILAC TANK,top,catalog/images/0898931001.jpg,,Black,,,classic|minimal|dressy|feminine,,h_and_m,0898931001,H&M
Verano blouse,top,catalog/images/0895356003.jpg,,Beige,,,classic|minimal|feminine|work,trendy|going_out,h_and_m,0895356003,H&M
Danni,top,catalog/images/0887771002.jpg,,Greyish Beige,,,casual|cozy|layering,everyday|casual,h_and_m,0887771002,H&M
Riviera S/S,top,catalog/images/0733106004.jpg,,Greenish Khaki,,,bold|statement|feminine|work,everyday|casual,h_and_m,0733106004,H&M
Larry basic sweater,top,catalog/images/0677219002.jpg,,Red,,,classic|minimal|cozy|layering,,h_and_m,0677219002,H&M
CROW RIB STRAP TOP,top,catalog/images/0758222002.jpg,,Greenish Khaki,,,classic|minimal|dressy|feminine,,h_and_m,0758222002,H&M
MC Duck coat,top,catalog/images/0889434001.jpg,,Black,,,classic|minimal|casual|layering,,h_and_m,0889434001,H&M
Anglais,top,catalog/images/0619075001.jpg,,Black,,,classic|preppy|feminine|work,everyday|casual,h_and_m,0619075001,H&M
Vincent (1),top,catalog/images/0522398057.jpg,,Red,,,bold|statement|dressy|feminine,everyday|casual,h_and_m,0522398057,H&M
Bo puff,top,catalog/images/0518176003.jpg,,Pink,,,statement|bold|cozy|layering,,h_and_m,0518176003,H&M
Valentino,top,catalog/images/0613456003.jpg,,Light Blue,,,classic|minimal|dressy|feminine,everyday|casual,h_and_m,0613456003,H&M
The small V,top,catalog/images/0621251001.jpg,,Black,,,feminine|romantic|versatile,,h_and_m,0621251001,H&M
Gordon,top,catalog/images/0689985002.jpg,,Dark Grey,,,classic|minimal|casual|layering,,h_and_m,0689985002,H&M
Petit Jennifer blazer,top,catalog/images/0910459003.jpg,,Black,,,classic|minimal,everyday|casual,h_and_m,0910459003,H&M
CALEXICO,top,catalog/images/0610700003.jpg,,Dark Blue,,,classic|minimal|dressy|feminine,,h_and_m,0610700003,H&M
PRICE CREW,top,catalog/images/0687601008.jpg,,White,,,classic|minimal|dressy|feminine,,h_and_m,0687601008,H&M
Magda knot blouse,top,catalog/images/0868163001.jpg,,Black,,,classic|minimal|feminine|work,,h_and_m,0868163001,H&M
Harrison (1),top,catalog/images/0678942039.jpg,,Orange,,,casual|classic,,h_and_m,0678942039,H&M
Rain,top,catalog/images/0852642001.jpg,,Dark Beige,,,classic|minimal|cozy|layering,everyday|casual,h_and_m,0852642001,H&M
Maran linen,top,catalog/images/0770761003.jpg,,Yellow,,,classic|minimal|basic|casual,everyday|casual,h_and_m,0770761003,H&M
Dame,top,catalog/images/0826492005.jpg,,Black,,,elegant|dressy|cozy|layering,everyday|casual,h_and_m,0826492005,H&M
Kagan top,top,catalog/images/0865873001.jpg,,White,,,classic|minimal|feminine|work,,h_and_m,0865873001,H&M
J Olin top EQ,top,catalog/images/0607771002.jpg,,Light Pink,,,classic|minimal,everyday|casual,h_and_m,0607771002,H&M
Ava blouse,top,catalog/images/0810800001.jpg,,White,,,bold|statement|feminine|work,everyday,h_and_m,0810800001,H&M
Plommon,top,catalog/images/0760970001.jpg,,Dark Blue,,,bold|statement|feminine|work,everyday|casual,h_and_m,0760970001,H&M
J Minnie T EQ,top,catalog/images/0573237004.jpg,,Other Pink,,,classic|minimal,everyday|casual,h_and_m,0573237004,H&M
Bianca blazer,top,catalog/images/0796648001.jpg,,Black,,,classic|minimal,,h_and_m,0796648001,H&M
Premium BLAKE jersey tee,top,catalog/images/0774543002.jpg,,Off White,,,classic|minimal|cozy|layering,,h_and_m,0774543002,H&M
SC MARTHA jumper,top,catalog/images/0692774001.jpg,,Off White,,,casual,,h_and_m,0692774001,H&M
Hanna,top,catalog/images/0519780001.jpg,,Grey,,,casual|cozy|layering,everyday|casual,h_and_m,0519780001,H&M
Unicorn SPEED,top,catalog/images/0528648003.jpg,,Light Blue,,,casual|classic|feminine|work,,h_and_m,0528648003,H&M
CNY Olivia hood,top,catalog/images/0815554001.jpg,,Off White,,,casual|graphic,everyday|casual,h_and_m,0815554001,H&M
Truro,top,catalog/images/0837786001.jpg,,Light Grey,,,casual|basic,everyday|casual,h_and_m,0837786001,H&M
Jupiter v-neck,top,catalog/images/0519847024.jpg,,Light Pink,,,classic|minimal|cozy|layering,,h_and_m,0519847024,H&M
Morning Sleeveless Top A,top,catalog/images/0912075007.jpg,,Greenish Khaki,,,classic|minimal|feminine|work,,h_and_m,0912075007,H&M
Seth sweater,top,catalog/images/0825994001.jpg,,Off White,,,classic|minimal|cozy|layering,everyday,h_and_m,0825994001,H&M
CNY Danes knit,top,catalog/images/0815574001.jpg,,Red,,,classic|minimal,everyday|casual,h_and_m,0815574001,H&M
Juan lace strap top,top,catalog/images/0469137015.jpg,,Green,,,classic|minimal|dressy|feminine,everyday|casual,h_and_m,0469137015,H&M
ED Johnny top,top,catalog/images/0653208009.jpg,,Dark Red,,,classic|minimal|dressy|feminine,,h_and_m,0653208009,H&M
Calista (1),top,catalog/images/0579541041.jpg,,Light Pink,,,classic|minimal|cozy|layering,,h_and_m,0579541041,H&M
Carla parkas,top,catalog/images/0753334001.jpg,,Greenish Khaki,,,classic|minimal|feminine|work,everyday,h_and_m,0753334001,H&M
Blossom tee,top,catalog/images/0828047001.jpg,,Black,,,classic|minimal|basic|casual,everyday|casual,h_and_m,0828047001,H&M
Janice tanktop,top,catalog/images/0482211002.jpg,,Light Yellow,,,classic|minimal|feminine|work,,h_and_m,0482211002,H&M
Tika,top,catalog/images/0494030020.jpg,,Off White,,,classic|minimal|basic|casual,everyday|casual,h_and_m,0494030020,H&M
Kira top,top,catalog/images/0660795004.jpg,,White,,,classic|minimal|dressy|feminine,everyday|casual,h_and_m,0660795004,H&M
Miniemouse,top,catalog/images/0502589002.jpg,,Light Blue,,,elegant|dressy|feminine|work,everyday|casual,h_and_m,0502589002,H&M
Lily blouse,top,catalog/images/0690523001.jpg,,Off White,,,classic|minimal,,h_and_m,0690523001,H&M
ED Becker polo top,top,catalog/images/0927953001.jpg,,White,,,classic|minimal|dressy|feminine,,h_and_m,0927953001,H&M
Charlie Top,top,catalog/images/0664074020.jpg,,Black,,,bold|statement|dressy|feminine,,h_and_m,0664074020,H&M
PINE JERSEY BLOUSE,top,catalog/images/0651273003.jpg,,White,,,casual|classic|dressy|feminine,,h_and_m,0651273003,H&M
King Charles v5,top,catalog/images/0682776003.jpg,,Dark Pink,,,classic|minimal|cozy|layering,,h_and_m,0682776003,H&M
Survivor,top,catalog/images/0662328001.jpg,,White,,,classic|minimal|feminine|work,,h_and_m,0662328001,H&M
PE CHRISSY SILK SHIRT,top,catalog/images/0688448002.jpg,,Dark Green,,,classic|minimal,,h_and_m,0688448002,H&M
Linnea linen t-shirt,top,catalog/images/0871542001.jpg,,Dark Grey,,,classic|minimal|basic|casual,everyday|casual,h_and_m,0871542001,H&M
Mariette Petite blazer,top,catalog/images/0903193003.jpg,,Dark Blue,,,classic|minimal,,h_and_m,0903193003,H&M
Lady Di,top,catalog/images/0504154016.jpg,,Light Blue,,,casual|cozy|layering,everyday|casual,h_and_m,0504154016,H&M
