Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
harrison-1,Harrison (1),<p>Harrison (1) by H&M.</p>,H&M,,Tops,"top,beige,casual",TRUE,Title,Default Title,,deny,manual,24.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0678942054.jpg,1,Harrison (1),active
pila-blouse,Pila Blouse,<p>Pila Blouse by H&M.</p>,H&M,,Tops,"top,dark orange,bold,statement,feminine",TRUE,Title,Default Title,,deny,manual,24.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0727263002.jpg,1,Pila Blouse,active
plommon,Plommon,<p>Plommon by H&M.</p>,H&M,,Tops,"top,dark blue,bold,statement,feminine",TRUE,Title,Default Title,,deny,manual,24.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0760970001.jpg,1,Plommon,active
edc-roman-blouse,EDC ROMAN BLOUSE,<p>EDC ROMAN BLOUSE by H&M.</p>,H&M,,Tops,"top,white,classic,minimal",TRUE,Title,Default Title,,deny,manual,24.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0671505001.jpg,1,EDC ROMAN BLOUSE,active
speed-apple,SPEED Apple,<p>SPEED Apple by H&M.</p>,H&M,,Tops,"top,light beige,casual,cozy,layering",TRUE,Title,Default Title,,deny,manual,24.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0705966006.jpg,1,SPEED Apple,active
essential-tanktop-lace,ESSENTIAL TANKTOP LACE,<p>ESSENTIAL TANKTOP LACE by H&M.</p>,H&M,,Tops,"top,light yellow,classic,minimal,dressy",TRUE,Title,Default Title,,deny,manual,24.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0572797046.jpg,1,ESSENTIAL TANKTOP LACE,active
fernanda-stripe-jumper,Fernanda stripe jumper,<p>Fernanda stripe jumper by H&M.</p>,H&M,,Tops,"top,light beige,casual,classic,cozy",TRUE,Title,Default Title,,deny,manual,24.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0610474003.jpg,1,Fernanda stripe jumper,active
darwin,Darwin,<p>Darwin by H&M.</p>,H&M,,Tops,"top,yellowish brown,classic,minimal,cozy",TRUE,Title,Default Title,,deny,manual,24.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0737489002.jpg,1,Darwin,active
sc-martha-jumper,SC MARTHA jumper,<p>SC MARTHA jumper by H&M.</p>,H&M,,Tops,"top,off white,casual",TRUE,Title,Default Title,,deny,manual,24.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0692774001.jpg,1,SC MARTHA jumper,active
madrid-trousers,Madrid trousers,<p>Madrid trousers by H&M.</p>,H&M,,Bottoms,"bottom,black,classic,minimal,dressy",TRUE,Title,Default Title,,deny,manual,39.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0612302005.jpg,1,Madrid trousers,active
toro-cargo-skirt,Toro cargo skirt,<p>Toro cargo skirt by H&M.</p>,H&M,,Bottoms,"bottom,greenish khaki,classic,minimal,feminine",TRUE,Title,Default Title,,deny,manual,39.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0648336001.jpg,1,Toro cargo skirt,active
vermont-fluid-essential,Vermont fluid essential,<p>Vermont fluid essential by H&M.</p>,H&M,,Bottoms,"bottom,black,classic,minimal,work",TRUE,Title,Default Title,,deny,manual,39.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0501322001.jpg,1,Vermont fluid essential,active
ed-primo-trousers-w,ED Primo trousers (W),<p>ED Primo trousers (W) by H&M.</p>,H&M,,Bottoms,"bottom,black,classic,minimal,work",TRUE,Title,Default Title,,deny,manual,39.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0783186002.jpg,1,ED Primo trousers (W),active
edc-lambada-skirt,EDC Lambada skirt,<p>EDC Lambada skirt by H&M.</p>,H&M,,Bottoms,"bottom,orange,bold,statement",TRUE,Title,Default Title,,deny,manual,39.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0750064001.jpg,1,EDC Lambada skirt,active
ed-milk-slaks,ED Milk slaks,<p>ED Milk slaks by H&M.</p>,H&M,,Bottoms,"bottom,dark red,classic,minimal,work",TRUE,Title,Default Title,,deny,manual,39.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0797892004.jpg,1,ED Milk slaks,active
pq-circus-velvet-trs,PQ CIRCUS VELVET TRS,<p>PQ CIRCUS VELVET TRS by H&M.</p>,H&M,,Bottoms,"bottom,black,classic,minimal",TRUE,Title,Default Title,,deny,manual,39.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0828852002.jpg,1,PQ CIRCUS VELVET TRS,active
pucchini-jumpsuit,Pucchini jumpsuit,<p>Pucchini jumpsuit by H&M.</p>,H&M,,Bottoms,"bottom,greenish khaki,classic,minimal,work",TRUE,Title,Default Title,,deny,manual,39.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0836364005.jpg,1,Pucchini jumpsuit,active
don-deco,Don Deco,<p>Don Deco by H&M.</p>,H&M,,Bottoms,"bottom,black,classic,minimal,work",TRUE,Title,Default Title,,deny,manual,39.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0529077001.jpg,1,Don Deco,active
fanny,Fanny,<p>Fanny by H&M.</p>,H&M,,Bottoms,"bottom,black,classic,minimal,work",TRUE,Title,Default Title,,deny,manual,39.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0582477001.jpg,1,Fanny,active
florence-playsuit,Florence playsuit,<p>Florence playsuit by H&M.</p>,H&M,,Bottoms,"bottom,dark red,classic,minimal,work",TRUE,Title,Default Title,,deny,manual,39.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0520392001.jpg,1,Florence playsuit,active
w-t-buttercup-skirt-eq,W T Buttercup Skirt EQ,<p>W T Buttercup Skirt EQ by H&M.</p>,H&M,,Bottoms,"bottom,turquoise,classic,minimal",TRUE,Title,Default Title,,deny,manual,39.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0539470001.jpg,1,W T Buttercup Skirt EQ,active
flirtatious-skirt,Flirtatious skirt,<p>Flirtatious skirt by H&M.</p>,H&M,,Bottoms,"bottom,yellow,bold,statement,feminine",TRUE,Title,Default Title,,deny,manual,39.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0764927001.jpg,1,Flirtatious skirt,active
beno-wow-skirt,Beno wow skirt,<p>Beno wow skirt by H&M.</p>,H&M,,Bottoms,"bottom,turquoise,dressy,feminine",TRUE,Title,Default Title,,deny,manual,39.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0771311002.jpg,1,Beno wow skirt,active
connie-hw-tapered-trousers,Connie HW tapered trousers,<p>Connie HW tapered trousers by H&M.</p>,H&M,,Bottoms,"bottom,light beige,bold,statement,classic",TRUE,Title,Default Title,,deny,manual,39.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0835213001.jpg,1,Connie HW tapered trousers,active
combo-wide-trs,Combo wide trs,<p>Combo wide trs by H&M.</p>,H&M,,Bottoms,"bottom,black,classic,minimal",TRUE,Title,Default Title,,deny,manual,39.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0701355001.jpg,1,Combo wide trs,active
hugo,Hugo,<p>Hugo by H&M.</p>,H&M,,Bottoms,"bottom,black,classic,minimal,feminine",TRUE,Title,Default Title,,deny,manual,39.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0563158001.jpg,1,Hugo,active
samantha-slip-skirt,Samantha slip skirt,<p>Samantha slip skirt by H&M.</p>,H&M,,Bottoms,"bottom,yellowish brown,classic,minimal,feminine",TRUE,Title,Default Title,,deny,manual,39.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0746326003.jpg,1,Samantha slip skirt,active
trixie-espadrill,Trixie espadrill,<p>Trixie espadrill by H&M.</p>,H&M,,Shoes,"shoes,light pink,classic,minimal",TRUE,Title,Default Title,,deny,manual,49.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0721285001.jpg,1,Trixie espadrill,active
gamma-sandalette,Gamma sandalette,<p>Gamma sandalette by H&M.</p>,H&M,,Shoes,"shoes,gold,statement,bold",TRUE,Title,Default Title,,deny,manual,49.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0808687001.jpg,1,Gamma sandalette,active
ol-trance-1,OL TRANCE (1),<p>OL TRANCE (1) by H&M.</p>,H&M,,Shoes,"shoes,dark red,classic,minimal",TRUE,Title,Default Title,,deny,manual,49.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0512630007.jpg,1,OL TRANCE (1),active
sonia-sandalette,Sonia sandalette,<p>Sonia sandalette by H&M.</p>,H&M,,Shoes,"shoes,beige,classic,minimal",TRUE,Title,Default Title,,deny,manual,49.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0889684001.jpg,1,Sonia sandalette,active
oakland-sockboot,Oakland sockboot,<p>Oakland sockboot by H&M.</p>,H&M,,Shoes,"shoes,red",TRUE,Title,Default Title,,deny,manual,49.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0680716001.jpg,1,Oakland sockboot,active
erica-sandalette,Erica sandalette,<p>Erica sandalette by H&M.</p>,H&M,,Shoes,"shoes,beige,classic,minimal",TRUE,Title,Default Title,,deny,manual,49.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0734872001.jpg,1,Erica sandalette,active
angie-bow-ballerina,Angie bow ballerina,<p>Angie bow ballerina by H&M.</p>,H&M,,Shoes,"shoes,black,classic,minimal",TRUE,Title,Default Title,,deny,manual,49.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0786259002.jpg,1,Angie bow ballerina,active
melodie-pq-pump,Melodie PQ pump,<p>Melodie PQ pump by H&M.</p>,H&M,,Shoes,"shoes,dark grey,classic,minimal",TRUE,Title,Default Title,,deny,manual,49.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0902831002.jpg,1,Melodie PQ pump,active
carly-sneaker,Carly sneaker,<p>Carly sneaker by H&M.</p>,H&M,,Shoes,"shoes,white,classic,minimal",TRUE,Title,Default Title,,deny,manual,49.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0760748006.jpg,1,Carly sneaker,active
maximo,Maximo,<p>Maximo by H&M.</p>,H&M,,Shoes,"shoes,dark yellow,classic,minimal",TRUE,Title,Default Title,,deny,manual,49.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0745184005.jpg,1,Maximo,active
ol-jun-pq-pump,OL JUN PQ Pump,<p>OL JUN PQ Pump by H&M.</p>,H&M,,Shoes,"shoes,light beige,classic,minimal",TRUE,Title,Default Title,,deny,manual,49.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0673832002.jpg,1,OL JUN PQ Pump,active
glassig-espadrille,GLASSIG ESPADRILLE,<p>GLASSIG ESPADRILLE by H&M.</p>,H&M,,Shoes,"shoes,red,classic,minimal",TRUE,Title,Default Title,,deny,manual,49.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0349301022.jpg,1,GLASSIG ESPADRILLE,active
mariette-petite-blazer,Mariette Petite blazer,<p>Mariette Petite blazer by H&M.</p>,H&M,,Jackets,"layer,dark blue,classic,minimal",TRUE,Title,Default Title,,deny,manual,69.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0903193003.jpg,1,Mariette Petite blazer,active
raspberry-jacket,Raspberry Jacket,<p>Raspberry Jacket by H&M.</p>,H&M,,Jackets,"layer,beige,classic,minimal,casual",TRUE,Title,Default Title,,deny,manual,69.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0786818001.jpg,1,Raspberry Jacket,active
wolf-raincoat,Wolf raincoat,<p>Wolf raincoat by H&M.</p>,H&M,,Jackets,"layer,light beige,bold,statement,casual",TRUE,Title,Default Title,,deny,manual,69.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0851866003.jpg,1,Wolf raincoat,active
alicia-hoodie,Alicia hoodie,<p>Alicia hoodie by H&M.</p>,H&M,,Jackets,"layer,red,classic,minimal,dressy",TRUE,Title,Default Title,,deny,manual,69.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0567477002.jpg,1,Alicia hoodie,active
glee-padded-vest,Glee Padded Vest,<p>Glee Padded Vest by H&M.</p>,H&M,,Jackets,"layer,greenish khaki,classic,minimal,casual",TRUE,Title,Default Title,,deny,manual,69.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0639242002.jpg,1,Glee Padded Vest,active
glazing-zip-hoodie,Glazing zip hoodie,<p>Glazing zip hoodie by H&M.</p>,H&M,,Jackets,"layer,dark pink,casual,basic",TRUE,Title,Default Title,,deny,manual,69.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0762930001.jpg,1,Glazing zip hoodie,active
mariette-blazer,Mariette Blazer,<p>Mariette Blazer by H&M.</p>,H&M,,Jackets,"layer,red,classic,minimal",TRUE,Title,Default Title,,deny,manual,69.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0568601045.jpg,1,Mariette Blazer,active
bianca-blazer,Bianca blazer,<p>Bianca blazer by H&M.</p>,H&M,,Jackets,"layer,black,classic,minimal",TRUE,Title,Default Title,,deny,manual,69.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0796648001.jpg,1,Bianca blazer,active
filippa-dress,Filippa Dress,<p>Filippa Dress by H&M.</p>,H&M,,Dresses,"dress,black,classic,minimal,feminine",TRUE,Title,Default Title,,deny,manual,39.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0689140001.jpg,1,Filippa Dress,active
daiquiri-ol,Daiquiri OL,<p>Daiquiri OL by H&M.</p>,H&M,,Dresses,"dress,dark red,classic,minimal,feminine",TRUE,Title,Default Title,,deny,manual,39.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0600510001.jpg,1,Daiquiri OL,active
pepper-polo-dress,Pepper polo dress,<p>Pepper polo dress by H&M.</p>,H&M,,Dresses,"dress,dark blue,bold,statement,dressy",TRUE,Title,Default Title,,deny,manual,39.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0766603001.jpg,1,Pepper polo dress,active
marseille-dress,Marseille dress,<p>Marseille dress by H&M.</p>,H&M,,Dresses,"dress,light yellow,classic,minimal,feminine",TRUE,Title,Default Title,,deny,manual,39.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0710608002.jpg,1,Marseille dress,active
mirella,Mirella,<p>Mirella by H&M.</p>,H&M,,Dresses,"dress,black,classic,minimal,basic",TRUE,Title,Default Title,,deny,manual,39.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0766006001.jpg,1,Mirella,active
amalia-dress,Amalia dress,<p>Amalia dress by H&M.</p>,H&M,,Dresses,"dress,dark orange,classic,minimal,basic",TRUE,Title,Default Title,,deny,manual,39.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0841434007.jpg,1,Amalia dress,active
ff-pi-haley-dress,FF PI Haley dress,<p>FF PI Haley dress by H&M.</p>,H&M,,Dresses,"dress,off white,elegant,dressy",TRUE,Title,Default Title,,deny,manual,39.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0909370001.jpg,1,FF PI Haley dress,active
leather-crossbody-bag,Leather crossbody bag,<p>Leather crossbody bag by H&M.</p>,H&M,,Accessories,"accessory,black,classic,minimal",TRUE,Title,Default Title,,deny,manual,34.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0436570025.jpg,1,Leather crossbody bag,active
woven-leather-belt,Woven leather belt,<p>Woven leather belt by H&M.</p>,H&M,,Accessories,"accessory,brown,classic,minimal",TRUE,Title,Default Title,,deny,manual,24.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0673396015.jpg,1,Woven leather belt,active
silk-scarf,Silk scarf,<p>Silk scarf by H&M.</p>,H&M,,Accessories,"accessory,multi,classic,statement",TRUE,Title,Default Title,,deny,manual,29.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0665082007.jpg,1,Silk scarf,active
structured-handbag,Structured handbag,<p>Structured handbag by H&M.</p>,H&M,,Accessories,"accessory,beige,classic,minimal,elegant",TRUE,Title,Default Title,,deny,manual,49.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0856992001.jpg,1,Structured handbag,active
metallic-clutch,Metallic clutch,<p>Metallic clutch by H&M.</p>,H&M,,Accessories,"accessory,metallic,bold,statement,dressy",TRUE,Title,Default Title,,deny,manual,34.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0876261001.jpg,1,Metallic clutch,active
